"age_cat","flua_h1n1pdm_gm","flua_h3n2_gm","flub_victoria_gm","flub_yamagata_gm"
"19-40",20,40,80,226.274
"19-40",80,80,14.142,80
"12-18",320,80,5,320
"5-11",40,80,80,113.137
"<5",80,40,10,56.568
"<5",5,160,80,80
">40",5,10,20,113.137
"12-18",10,80,10,20
"5-11",40,28.284,20,113
"5-11",5,20,5,452.548
">40",5,7.071,10,7.071
">40",5,5,5,5
"12-18",20,56.568,14.142,56.568
"19-40",20,20,40,40
">40",10,56.568,57,56.568
"19-40",10,20,20,80
"12-18",40,160,20,80
"5-11",5,20,40,28.284
"<5",160,113.137,28.284,160
"19-40",28.284,5,14,56.568
"12-18",40,10,14,28.284
"12-18",5,40,40,113
"5-11",160,40,40,40
"5-11",113.137,40,14,160
"5-11",20,160,20,20
"<5",640,20,160,14.142
"<5",320,5,5,14.142
"<5",5,5,5,7.071
">40",5,80,7.071,10
"12-18",160,640,20,320
"12-18",80,320,14.142,40
"19-40",80,320,10,20
"12-18",40,80,14.142,40
"12-18",226,1280,10,80
"5-11",226.274,640,40,20
">40",5,113.137,10,5
"19-40",5,20,10,5
"12-18",20,320,10,14.142
"5-11",5,80,7.071,5
"19-40",80,40,7.071,20
"12-18",56.568,640,80,7.071
"19-40",40,5,10,5
"5-11",40,226.274,40,10
"5-11",113.137,40,80,10
"5-11",160,40,20,5
"19-40",5,5,5,5
"19-40",80,14.142,20,160
"<5",7.071,5,20,160
"<5",10,80,28.284,320
"19-40",640,14.142,80,160
"5-11",40,226.274,57,640
"5-11",40,160,57,160
"<5",160,1280,56.568,160
">40",28,10,56.568,226
"19-40",56.568,226.274,80,640
"19-40",40,160,113,113.137
"12-18",160,20,56.568,56.568
"12-18",14.142,226.274,14.142,56.568
"12-18",10,640,113.137,28.284
"5-11",20,640,20,5
"19-40",7.071,452.548,320,320
"12-18",28,20,160,28
"12-18",56.568,113.137,56.568,20
"19-40",160,5,10,40
"19-40",20,56.568,113.137,320
"5-11",160,1280,20,57
">40",5,20,5,40
"19-40",20,20,5,20
"<5",7.071,5,20,5
"19-40",80,80,20,160
">40",5,226,5,5
">40",14.142,10,20,20
">40",40,1280,80,40
"19-40",20,160,10,160
"12-18",40,160,10,80
"<5",5,160,5,5
">40",80,7.071,5,5
">40",20,5,10,20
"5-11",80,320,40,5
"19-40",5,5,5,7.071
"19-40",7.071,40,40,7.071
"12-18",80,160,10,160
">40",5,10,7.071,20
"12-18",113.137,1280,160,80
"5-11",28.284,80,10,40
">40",5,14.142,10,7.071
"19-40",80,14.142,14.142,10
"19-40",20,56.568,14.142,40
"12-18",56.568,113.137,40,56.568
"5-11",160,640,40,80
"<5",5,160,5,5
